name,description
Metro Energy,"Since 1929, Metro Energy, M & T Oil Company will dedicate to providing each customer with expert, honest, courteous heating oil service in Boston MA & Quincy MA"
Atiim,"Web-based performance management software to set, cascade down and track company-wide goals based on OKR approach with employee weekly status reports."
Indomitable capabilities,I have aquired skills that are nearly impossible to do so and even more impossible to become efficient as well as proficient in.
GeoPeople,GeoPeople is a line of plush toys that come to life in a virtual world. The characters'  geometric shapes teach kids about shapes & colors.
"Semcasting, Inc.",Semcasting revolutionizes Internet Ad targeting based on its patent pending IP Zones in a world where cookie based targeting is dying.
Development Collaborative,"At Development Collaborative, we promote open-source sustainable development by facilitating dissemination and diffusion of best practices."
"nQ Medical, Inc.","End-to-end Pharma R&D - commercial - population health, machine learning platform for early diagnosis, disease progression, and therapeutic impact measurement."
AngelChi Africhic Collection,AngelChi Africhic collection designed with unique African fabric tailored to look sexy modern and chic .
UScan Technologies,"We are an RFID technology company that supplies retailers with cutting-edge self-checkout systems, giving them the competitive advantage they deserve."
indoNRI,"indoNRI is a local platform for global Non-Resident Indians (NRI) & South Asians to discover cultural events, classifieds, ethnic business."
StatGraphica,"StatGraphica is a web application that makes it easy to find, compare, and publish data on the fly, including data from different sources, all in a single view."
Bio3 Research srl,Patented use of HMGB1 protein for cardiovascular disease and connective tissue regeneration. Key role of HMGB1 confirmed in patients.
C5 English Services,We help Chinese companies open international markets by enhancing their capability to create effective English materials
Garagesocial,A revolutionary social networking community for auto enthusiasts.
Socialize Your Stuff,Turn Your Customers into Your Best Sales People
GemCo,Revitalization of Chemotherapeutics Using a Tumor Targeting Drug Delivery System (nanoparticle)
1upHealth,"Get Health Data in Minutes! App developers, patients, and providers can connect and share data from health systems in minutes."
Alouette Construction,Whatever structure exists in your house is enough to turn it into your dream home
Censio,Censio’s first product is a smartphone app that helps people drive safely and save money on car insurance by tracking driving habits.
Eutropics Pharmaceuticals,Eutropics is co-developing a companion diagnostic/therapeutic for the treatment of multiple myeloma patients.
HeartPatch,Device allows for conditioning and characterization of myocardial cell sheets for improved incorporation and enhanced cardiac function upon implantation.
"nQ Medical, Inc.","End-to-end Pharma R&D - commercial - population health, machine learning platform for early diagnosis, disease progression, and therapeutic impact measurement."
The Gnar Company Inc.,We build foundational digital products.
Drain Remedy Inc,"Drain Remedy, Inc. are professional sewer and drain cleaning and plumbing service contractors."
Dotassurepay Ltd,"Dotassurepay allows anyone with a mobile phone to use it as a contactless payment device...Any phone, securely and effortlessly."
PAW;Pet-friendly Accommodations Worldwide,"PAW, the ONLY online 3rd party distribution channel to exclusively deliver affluent, pet-owning travelers to luxury pet-friendly hotel sites"
ideas foundation llc,"50% cancer reduction in mice after 4 days.
www.lytinas.com"
IntuiLab,Multi-Touch Interfaces & Interactive Touchscreen Solutions - IntuiLab
Atiim,"Web-based performance management software to set, cascade down and track company-wide goals based on OKR approach with employee weekly status reports."
Crowd Comfort,"CrowdComfort enables building owners, operators, and occupants to share information about their comfort and maintenance issues.

Based in Boston, CrowdComfort crowdsources occupant and building information to improve efficiency and service levels for a wide range of facility management functions. With our SaaS-based communication platform, building and facility occupants can file geo-located reports with photo evidence on comfort, maintenance, and safety issues in a matter of seconds. Our application streamlines incident reporting, preventative maintenance checklists and analytical reporting, saving facility management teams time and money."
LoomisLand Productions,LoomisLand is seeking $2.4M for its second film offering unique deal terms that hedges risk substantially.
Drain Remedy Inc,"Drain Remedy, Inc. are professional sewer and drain cleaning and plumbing service contractors."
invisaWear,"invisaWear creates smart jewelry and accessories that allow users to instantly alert friends, family, and police during an emergency."
"South Shore Roofing, Inc.",
WAMBUI PUBLICATIONS,"Bought a 1979 Peugeot 504 in 2002 that has attracted a lot of attention in Massachusetts. Have been renting it for weddings, marketing, advertising and promo..."
Conduit,We combined the computer power of companies and everyday people to provide cloud computing cheaper and easier to use than ever.
UsTech Discovery LLC,Technology Discovery & Commercialization Company
BunkJet,The hostel booking platform that allows you to know who'll bunk with before you book.
Standard Medicine,Early detection of cancer with an inexpensive yearly test of DNA in urine
Energy Intelligence,"EI aims to create a new, significant source of clean electricity by harvesting energy lost on roadways with its patented technology."
"South Shore Roofing, Inc.",
Broadcast Pix Inc.,
ArtVenue,ArtVenue makes it easy for artists to show and sell their artwork on the walls of local businesses. QR codes let you buy with a smartphone!
Zepteon,Zepteon enables production of next generation therapeutic antibodies with far higher potency
"McGuire Musical Industries, Inc. / dba John McGuire Guitars","John McGuire has the family legacy and outstanding history to back up his outstanding high end guitars he builds for the Working Musician. Look, Feel , and Tone"
Leng Shui,"I will launch a new high end luxury brand online for men and women that focuses on building a reputation for quality, value and design."
Cutly,Salon Services by Professional Stylists for your busy lifestyle with a Twist.
Mass United FC,Mass United FC needs the financial backing to elevate us into the 2nd tier of professional soccer in the United States.
Garagesocial,A revolutionary social networking community for auto enthusiasts.
IntuiLab,Multi-Touch Interfaces & Interactive Touchscreen Solutions - IntuiLab
CRUSHarmy,"Join CRUSHarmy.com to buy, sell or trade sales leads and insider account knowledge for points and status. It's crowd selling for sales reps."
Nerve Solutions Inc.,We are developing an implantable platform device to prevent debilitating pain from neuromas and repair nerves from traumatic injuries.
"Blackbird Pie Company, LLC","Our mission is to develop, manufacture and wholesale premium, gourmet frozen savory pies."
Water Hero,Water Hero provides a real-time mobile monitoring system that helps you reduce water usage and reduce property damage. Protect your home from costly water damage. Control your water system from your smart phone.
"Charity Beard, Inc.","Advancing a more efficient way to raise funds for the betterment of the community, by providing legal entertainment for charitable purposes."
Business Buddy Inc.,WHERE BUSINESS GO TO GROW.
Ambient Lighting Designs,"ALD aims to provide decor lighting design services for special events, specifically weddings, using an inventory of Colormaker(c) LED lights"
The Ancient Bakers,Developer of Health & Wellness Bakery Products
icebrkr,"The problem is, daters don't need more matches, they need more confidence. We solve this problem by empowering users with the skills & confidence to succeed."
RITA's Startup,"I have a idea that i am on the process to get patent related to traffic
but i can't afford all the lawyer fees to get going after the search analysts"
TANGOELLA,TANGOELLA is a lifestyle brand that offers both high-end one of kind collection and anything goes capsulate designed for easy dressing in unique prints.
Doug Fleener,"Information and resources from retail and customer experience expert, consultant, and keynote speaker Doug Fleener."
BunkJet,The hostel booking platform that allows you to know who'll bunk with before you book.
Windgap Medical,Windgap Medical is developing healthcare products that meet the demands of your lifestyle
ComputerSupport,"IT support company providing managed IT services, cloud services and onsite IT support across the United States."
GOD'S AMONG US CLOTHING Start Up,A Clothing line dedicated to a retro/vintage twist of Egyptian and Greek mythology That will appeal to the modern day fashion Industry and all different sizes
Reedy Wolf,Seamless online platform for K-12 private school applications.
Crypt Studios,"Crypt Studios will be the exclusive, all inclusive production & rehearsal complex created for musicians by musicians."
Chasm Innovations,Connecting Innovation to the Enterprise
Apptomics LLC,Apptomics LLC provides health integrated solutions for neurological conditions.
Mimoco,"Makers of MIMOBOT & MimoMicro character-based USB flash drives. Star Wars, Hello Kitty, DC Comics, Artist/Core/Community Series & much more!"
XBT Card,The Bitcoin debit card.
invisaWear,"invisaWear creates smart jewelry and accessories that allow users to instantly alert friends, family, and police during an emergency."
invisaWear,"invisaWear creates smart jewelry and accessories that allow users to instantly alert friends, family, and police during an emergency."
BunkJet,The hostel booking platform that allows you to know who'll bunk with before you book.
Boston Innovation Capital,Advisory firm formed to package emerging life science companies and raise capital via targeted road shows facilitated via a proprietary investor database
lallitara,lallitara is an apparel and accessories brand that revolutionizes fashion every step of the way.
Reedy Wolf,Seamless online platform for K-12 private school applications.
"McGuire Musical Industries, Inc. / dba John McGuire Guitars","John McGuire has the family legacy and outstanding history to back up his outstanding high end guitars he builds for the Working Musician. Look, Feel , and Tone"
"Transparency Life Sciences, LLC",Transparency Life Sciences is the world’s first drug development company based on open innovation.
Boston & Maine Fish Co,Come enjoy our mouth-watering menu featuring the fresh caught Maine Steamed Lobster and the delicious award-winning New England Clam Chowder.
UVTech Systems Inc.,UVTech has developed and patented a cleaning technology and system using laser radiation and gas for integrated circuit manufacturing.
Leng Shui,"I will launch a new high end luxury brand online for men and women that focuses on building a reputation for quality, value and design."
Qorax Energy,"We provide renewable energy solutions for markets with unusually high electricity costs, with a commitment to social and financial returns."
Agira,Agira owns highly efficient and low cost optics technology for solar panels.
Leng Shui,"I will launch a new high end luxury brand online for men and women that focuses on building a reputation for quality, value and design."
Motley Solutions LLC d/b/a SwitchBella,"Patent pending, innovative, fashion designs, revolutionizing  women's fashion, wardrobe and style...."
The UrbanSoph Initiative,The UrbanSoph Initiative (TUSI) is an experiential program empowering a city’s children and youth through knowledge equity.
Reedy Wolf,Seamless online platform for K-12 private school applications.
UNItiques LLC,"UNItiques is a free marketplace just for college students, like Craigslist w/out creepers. Safely & conveniently shop and sell on campus, or to campuses nearby."
CleanYardNetwork,"Online marketplace where consumers can easily order and pay for snow removal, lawn care and home cleaning services right on the website."
LoomisLand Productions,LoomisLand is seeking $2.4M for its second film offering unique deal terms that hedges risk substantially.
Turmeric Curcumin Online,"Since There Are Hundreds Of Studies Conducted On Curcumin, Experts Conclude That It Has Developed A Flawless Safety Record"
Basement Technologies,"At Basement Technologies, we design and manufacture best-in-class basement waterproofing solutions. Whether you need a full perimeter interior basement drainage"
Forktips,"Forktips, the first “social only” restaurant review site, is an alternative to Foursquare that’s meant to increase activity in every aspect."
OMYEN Corp.,"With our lifetime financial and retirement planning technologies, our goal is to redefine the planing and investment management landscape."
DJ Jack Barros,Jack Barros is a full time Worcester Wedding DJ that has entertained thousands of guests at functions over the past thirty years.
CleanYardNetwork,"Online marketplace where consumers can easily order and pay for snow removal, lawn care and home cleaning services right on the website."
Yukna trucking,Start up veteran owned and ran and employed trucking company
Pong Robotics,"Our social robotics help you exercise, stay healthy and be more productive."
Colabs Newton,Biotech incubator in Newton - expanded from current operational incubator to be spun out of Siamab; $800k cash flow per year potential.
Energy Intelligence,"EI aims to create a new, significant source of clean electricity by harvesting energy lost on roadways with its patented technology."
Handstamp,Big ideas and a very simple strategy - contributing solutions to the music industry.
Virtual Coupon Discounts,Klick2save mobile application  transfers existing FSI coupons  from Sunday newspaper  onto consumer's smart cell phones and loyalty cards.
Atlas5D,Clinical-grade measurements in the home
JM Appliance,JM Appliance Service provides residential appliance service and repair in Worcester Massachusetts (MA). We perform repairs for all major and minor household.
O ROCK® Outerwear,MA/US Outdoor Lifestyle Apparel etc. CO.
Universal Branding,Aligning customer brands and employer brands
imageSurge Inc,imageSurge transforms any retail storefront into a through-glass touch interactive retail platform.
Garagesocial,A revolutionary social networking community for auto enthusiasts.
Baikal Capital Group Futures,International futures broker that helps oil producing companies to lock in market prices with precision.
CollegeAI,"CollegeAI is a personalized, AI-assisted college recommendation and resource platform for high-school students."
McGrupps,At McGrupps we want to make sure your pets live the fullest lives possible. We offer Premium supplements for Stress and Anxiety Relief & Bone and Joint Relief
DJ Jack Barros,Jack Barros is a full time Worcester Wedding DJ that has entertained thousands of guests at functions over the past thirty years.
"Alexander Vuckovic, M.D., LLC","Gentelon is a patented combination of three natural products, for depressed individuals who desire or require an alternative to synthetic antidepressants."
CleanYardNetwork,"Online marketplace where consumers can easily order and pay for snow removal, lawn care and home cleaning services right on the website."
Motley Solutions LLC d/b/a SwitchBella,"Patent pending, innovative, fashion designs, revolutionizing  women's fashion, wardrobe and style...."
Inside Agriculture,"INSIDE AGRICULTURE harnesses new technologies in Light Emitting Diodes, solar, wind, and indoor urban agriculture with the goal of creating a self sustaining..."
Qorax Energy,"We provide renewable energy solutions for markets with unusually high electricity costs, with a commitment to social and financial returns."
Kartik,1)	Accessory to clean vacuum agitator
Grove Street Technologies,"Save typical US households $1,300/yr and reduce their carbon footprint 30% by supplying highly-efficient combined heat/power systems."
Pillo Health,Home Health Care Services
"Avaxia Biologics, Inc.",Avaxia Biologics develops orally-delivered antibody products for disease targets accessible via the GI tract.
The Panther Trading Corporation,Formation of an alternative investment advisory firm with both state and CFTC registrations.
vayustorage,Vayu Storage provides AnyCloud Storage SW appliance for cloud applications for  storage needs in both public and private cloud environment.
Cloud Connected Financial,Salesforce of the Forex Industry.  Revolutionizing the way Retail Forex Brokers manage their operations with a unified platform that consolidates operations.
Mark Lizotte Massachusetts,Mark Lizotte Massachusetts is an Accounting professional with a B.S. in Finance/Economics .
"Censco, LLC","CENSCO provides CAD design outsourcing, drafting, drawing and FEA analysis services Using Solidworks"
SongScribe,"SongScribe allows musicians to capture and share musical ideas by humming into their smartphone, and then browsing other submissions online."
Colabs Newton,Biotech incubator in Newton - expanded from current operational incubator to be spun out of Siamab; $800k cash flow per year potential.
Stopri,A web 2.0 stories and news platform.
Motley Solutions LLC d/b/a SwitchBella,"Patent pending, innovative, fashion designs, revolutionizing  women's fashion, wardrobe and style...."
Agile Devices,"The first effective deflectable microcatheter -- expediting vascular access, reducing procedure time/cost and improving clinical outcomes."
Marie Grace Bella Pelle,Renew your Skin and Awaken your Senses
Dynamic Education Solutions,"DES re-purposes the world’s numeric data so students can have bigger, better, bolder math experiences - abstract math is history."
Marie Grace Bella Pelle,Renew your Skin and Awaken your Senses
"MultiScopic Instruments, LLC","Powered, rotating and 180 degree articulating laparoscopic and endoscopic surgical instrumentation. Reusable handle, shaft; single use tips."
Fashion Playtes,Virtual design studio for girls where they can indulge in their love for fashion by producing garments they can actually have produced to wear.
Grove Street Technologies,"Save typical US households $1,300/yr and reduce their carbon footprint 30% by supplying highly-efficient combined heat/power systems."
Yukna trucking,Start up veteran owned and ran and employed trucking company
Breakroom,Providing Convenient Therapy for Young Professionals
Remote Control,"Remote Control modernizes a large, existing industry with a radical leap in efficiency, employing technology that is both built and proven."
Karrowne's Recycled Furniture,"We refurbish old furniture, and sculpt new furniture using recycled materials. Unique, interesting, green, and profitable."
YooCard Services,"With variety to browse and buy daily, local, or featured deals, Yoogotit markets businesses discounts to consumers online and through the ph"
Writengine,If you are among the student who is afraid of submitting term paper because of tough studies schedule then this is for you!
HeartPatch,Device allows for conditioning and characterization of myocardial cell sheets for improved incorporation and enhanced cardiac function upon implantation.
Boston Plastering Contractor Inc.,Find Plastering Services Online
unique,No one is happy with periods so my idea is going to help them get through it very easy. And my idea is green to!
CollegeAI,"CollegeAI is a personalized, AI-assisted college recommendation and resource platform for high-school students."
Darrell's Startup,Some say that coffee is the actual black gold and not oil. I couldn’t agree more
OMYEN Corp.,"With our lifetime financial and retirement planning technologies, our goal is to redefine the planing and investment management landscape."
Next Generation Gymnastics,NGG will be the newest member of the Gymnastics Instruction Industry
Blush Baking Company LLC.,"My Company, Blush Baking Company, is opening a cafe in the Boston area, serving French Macarons, specialty pastries, and unique beverages."
AIT CleanCem,"AIT is a technology company that converts coal combustion waste into a cement substitute with proven environmental benefits, a $60bn market."
XBT Card,The Bitcoin debit card.
"nQ Medical, Inc.","End-to-end Pharma R&D - commercial - population health, machine learning platform for early diagnosis, disease progression, and therapeutic impact measurement."
Mill Tower Technologies,Mill Tower Technologies offers Professional Services for Information Technology Innovation and Leadership.
Kartik,1)	Accessory to clean vacuum agitator
Perfect Health,Innovative risk-bearing health system specializing in serving complex patients through high-intensity primary care and complex care services
Operation Code,"Helping veterans and the military community learn software development, enter the tech industry, and code the future."
GeoPeople,GeoPeople is a line of plush toys that come to life in a virtual world. The characters'  geometric shapes teach kids about shapes & colors.
Next Generation Gymnastics,NGG will be the newest member of the Gymnastics Instruction Industry
Eutropics Pharmaceuticals,Eutropics is co-developing a companion diagnostic/therapeutic for the treatment of multiple myeloma patients.
L.i.T (Live in Technology),I invented something that will change what you do during your private times. Give me a chance to pitch my idea in person
Follicle Thought,Connecting investors to the best hair growth treatments being developed in the world. Now is the time for a hair growth treatment to change the world.
Next Generation Gymnastics,NGG will be the newest member of the Gymnastics Instruction Industry
FoneFuel,Everyday people are faced with the challenge of needing to charge their phones on the go. We have a solution that is far better than anything else on the market
ClearView Audio,"ClearView Speakers are patented-protected, virtually-invisible (no black box), wireless speakers, and deliver acoustically pure, 360° sound."
ComputerSupport,"IT support company providing managed IT services, cloud services and onsite IT support across the United States."
Remote Control,"Remote Control modernizes a large, existing industry with a radical leap in efficiency, employing technology that is both built and proven."
Lilly Homes - Inspired by Every Day Living,Lilly Homes prides itself on being a team with professionalism.
Quvari Marketing Solutions,Business Growth Consulting in Boston
"Setem Technologies, Inc.","Setem has developed a solution for ""the Cocktail Party problem"" -- enabling desired voice conversation(s) to be extracted from ambient noise"
Boston & Maine Fish Co,Come enjoy our mouth-watering menu featuring the fresh caught Maine Steamed Lobster and the delicious award-winning New England Clam Chowder.
PackageCarry.com (In preparation),"packagecarry.com is a first-of-a-kind new idea .  At present,our goal is the final stage route logistics solution."
IntuiLab,Multi-Touch Interfaces & Interactive Touchscreen Solutions - IntuiLab
Life Sciences Group,"LSG provides executive leadership for rapid product development, manufacturing and successful commercialization of laboratory products."
clearplus,"Our company base decision making off of data or results, We work close with employment agencies saving us money in time"
Technewsrelated,Get Latest Technology and IOT News Online 2018
New England Hair Academy,beauty-school-ma
"myZamana, Inc.",myZamana is a social discovery site that helps connect friends and like-minded individuals.
Karrowne's Recycled Furniture,"We refurbish old furniture, and sculpt new furniture using recycled materials. Unique, interesting, green, and profitable."
Quietly Fierce Media,"QFm is a Digital Media, Branding, Management & Marketing Agency for Pro & Elite Endurance and Multisport Athletes.

We are productizing the branding, socia..."
Artisan Organics,Artisan Organics
Perfect Health,Innovative risk-bearing health system specializing in serving complex patients through high-intensity primary care and complex care services
UScan Technologies,"We are an RFID technology company that supplies retailers with cutting-edge self-checkout systems, giving them the competitive advantage they deserve."
ComputerSupport,"IT support company providing managed IT services, cloud services and onsite IT support across the United States."
Fly shoez,"I have a lucrative profitable idea/design for a sneakers and I need help getting the funding to get it patent,made and marketed."
ComputerSupport,"IT support company providing managed IT services, cloud services and onsite IT support across the United States."
Pliant.io,Pliant.io -- Automating the Digital World
Spacecliff Software,Automating Applications in a Multimedia Framework
UsTech Discovery LLC,Technology Discovery & Commercialization Company
TieHearts,"TieHearts are modular necktie knots (of all knots variety and colors) which may accompany any Jaquard or extra-long Jaquard.

US Patent Pending"
The playhouse,"The hot spot in Boston that actually has good music,food,& service in 1 place w/ a fun atmosphere. Your welcome to dine or dance the night away in elegance."
Bostnash,Boston is great
Scintillon Research LLC,Scintillon Research LLC intends to provide fluorescent probes with high sensitivity and stability for biomedical applications.
WAMBUI PUBLICATIONS,"Bought a 1979 Peugeot 504 in 2002 that has attracted a lot of attention in Massachusetts. Have been renting it for weddings, marketing, advertising and promo..."
Nikan Pharmaceuticals,First-ever antiviral treatment for human papillomavirus (HPV).
Dynamic Education Solutions,"DES re-purposes the world’s numeric data so students can have bigger, better, bolder math experiences - abstract math is history."
Cherry Street Health Group,
BunkJet,The hostel booking platform that allows you to know who'll bunk with before you book.
YooCard Services,"With variety to browse and buy daily, local, or featured deals, Yoogotit markets businesses discounts to consumers online and through the ph"
Evoqu Inc.,ShopAdvisor is a deferred shopping platform that connects consumers’ initial interest in a product with their eventual purchase.
Re-Sealable soda can,"adjusting imperfection. Stackable, portable, soda cans are ALMOST perfect. next step, a built in sealer. Keep carbonation AND liquid inside"
FoneFuel,Everyday people are faced with the challenge of needing to charge their phones on the go. We have a solution that is far better than anything else on the market
Mysiteforever,Internet profile page you will have free forever.
Bio3 Research srl,Patented use of HMGB1 protein for cardiovascular disease and connective tissue regeneration. Key role of HMGB1 confirmed in patients.
"Physical Sciences, Inc.",A high-resolution optical coherence tomography imaging probe is being proposed to aid clinicians in their ability to perform biopsies.
"Baroque Brewing Co., LLC",Empower us to open an artisanal brewery producing products using the freshest ingredients for our local communities!
Evoqu Inc.,ShopAdvisor is a deferred shopping platform that connects consumers’ initial interest in a product with their eventual purchase.
Sensorstream,Sensorstream is focused on the design of wearable consumer electronic devices. We want to begin mass production of our smart watch named Pi.
Global Flight Systems,Global Flight Systems is dedicated to the development of high altitude solar powered drones destined for the telecommunications and remote sensing industries.
Finale.fm,Finale is a charitable online music store. 10% of every purchase is donated to a cause the user chooses.
Evolution MedSpa Boston,Botox In Boston
RIN,The objective of RIN is to create a platform for investors to purchase emerging markets bonds directly--democratizing a service currently closed to the public.
"Baroque Brewing Co., LLC",Empower us to open an artisanal brewery producing products using the freshest ingredients for our local communities!
Gamenetech,"Gamenetech offers fun rewarding networking experiences available to everyone with a beautiful, simple UI  fun rewards, and progress trackers"
invisaWear,"invisaWear creates smart jewelry and accessories that allow users to instantly alert friends, family, and police during an emergency."
SOOSHAY,fast-casual sushi rolled fresh-to-order
Time Warp Escape Rooms,Real Life Room Escape Game
The UrbanSoph Initiative,The UrbanSoph Initiative (TUSI) is an experiential program empowering a city’s children and youth through knowledge equity.
ComputerSupport,"IT support company providing managed IT services, cloud services and onsite IT support across the United States."
Carla,Mobile first car rental comparing 900 car hire companies worldwide
Development Collaborative,"At Development Collaborative, we promote open-source sustainable development by facilitating dissemination and diffusion of best practices."
EnvoyAI,EnvoyAI is a marketplace for artificial intelligence algorithms in medical imaging
LegWirk,Bridging the gap between manufacturer sales reps and retail stores. LegWirk helps sales people sell better by doing all of the legwork.
GOD'S AMONG US CLOTHING Start Up,A Clothing line dedicated to a retro/vintage twist of Egyptian and Greek mythology That will appeal to the modern day fashion Industry and all different sizes
Forktips,"Forktips, the first “social only” restaurant review site, is an alternative to Foursquare that’s meant to increase activity in every aspect."
Smartgrid-CI,We offer daily strategic intelligence to business clusters using competitive intelligence tools.
"Global Impact Films, LLC",We will produce a feature film that charts four women’s inspiring journeys from a life of poverty to one of strength and self-sufficiency.
DJ Jack Barros,Jack Barros is a full time Worcester Wedding DJ that has entertained thousands of guests at functions over the past thirty years.
La Fi5th,La Fi5th is a user-driven community that delivers a modern news experience to everyone. Users can easily share or bookmark posts they discover or they can ev...
The Pollis,"A social networking site where bloggers can share, promote, & interact. The social networking aspect produces a catalog where rank matters."
Motley Solutions LLC d/b/a SwitchBella,"Patent pending, innovative, fashion designs, revolutionizing  women's fashion, wardrobe and style...."
lallitara,lallitara is an apparel and accessories brand that revolutionizes fashion every step of the way.
"Turning Mill Energy, LLC","We develop integrated renewable energy projects that provide investors acceptable ROI and IRR from an Equity,Tax Equity or Debt position"
Mary J List,If Craig and Angie got together and had a kid their child's name would be Mary J List hence Mary J List.com Check us out for all things cannabis!!!
Mark Lizotte Massachusetts,Mark Lizotte Massachusetts is an Accounting professional with a B.S. in Finance/Economics .
Gamer Sensei,"Gamer Sensei is the world’s premiere mastery platform for players who want to win more in their favorite online games. Gamer Sensei’s coaches are among the best pro gamers in the world, each matched with students via a patent-pending algorithm. Gamer Sensei coaches provide personalized lessons to help gamers of all skill levels in their quest to make epic plays."
EarlyBird,The way breakfast and lunchtime should be
ClickJoy,"ClickJoy is a prospecting platform that combines millions of business contacts with an email delivery system + ""Smart Response"" technology"
ATTITUDE,The quest to make sure everyone in every community is well fed clothed and financially secure will be long but it just takes positive attitude.
Shoipping.org,ShoppingShipping is a technology company that provides a platform to collect discounted offers for all products in your region.
instantMRO,instantMRO is a trusted marketplace for the exchange of aircraft parts between U.S. manufacturers and the military.
Dotassurepay Ltd,"Dotassurepay allows anyone with a mobile phone to use it as a contactless payment device...Any phone, securely and effortlessly."
MOMONZ LLC,"Enable 3rd World to profitably produce and better apply USFDA quality bio-pharmaceuticals, defeating drug resistance while bringing improved standard of living."
Infinity Law Group,Estate Planning
MobiStine,Do you care about your pregnant relative? We do care too; MobiStine provides trusted healthcare apps for new parents for better healthy life
Remote Control,"Remote Control modernizes a large, existing industry with a radical leap in efficiency, employing technology that is both built and proven."
Qstream,Mobile sales reinforcement in 3 minutes a day for enterprise sales forces.
Atemp.Today,An ML-driven on-demand labor platform
Blush Baking Company LLC.,"My Company, Blush Baking Company, is opening a cafe in the Boston area, serving French Macarons, specialty pastries, and unique beverages."
"ADM-Live, Inc.","Software systems focus on capturing data, however many departments need to capture both data and forms, process them electronically - our tool kit"
RentalScore,Making the residential rental selection process efficient and less painful by using technology to generate a RentalScore that is meaningful.
Doug Fleener,"Information and resources from retail and customer experience expert, consultant, and keynote speaker Doug Fleener."
Doug Fleener,"Information and resources from retail and customer experience expert, consultant, and keynote speaker Doug Fleener."
LegWirk,Bridging the gap between manufacturer sales reps and retail stores. LegWirk helps sales people sell better by doing all of the legwork.
FoneFuel,Everyday people are faced with the challenge of needing to charge their phones on the go. We have a solution that is far better than anything else on the market
Marathon Moving,A local Boston moving company that provides the best value!
T,Transformative
UsTech Discovery LLC,Technology Discovery & Commercialization Company
LoomisLand Productions,LoomisLand is seeking $2.4M for its second film offering unique deal terms that hedges risk substantially.
Evolution MedSpa Boston,Botox In Boston
BunkJet,The hostel booking platform that allows you to know who'll bunk with before you book.
"el gran lobo, LLC","NEARS, a unique resort experience focused on maximum occupancy rates & increased avg daily rates for a high return to owners and investors."
Zyrra,"Zyrra uses mass-customization technology to solve a widespread problem: It is difficult to find bras that fit, and bra-shopping is a chore."
Inside Agriculture,"INSIDE AGRICULTURE harnesses new technologies in Light Emitting Diodes, solar, wind, and indoor urban agriculture with the goal of creating a self sustaining..."
Capstan Atlantic,Powdered and Sintered Metals Gears Parts
eyeglassX.com,eyeglassX.com brings you exclusive deals on extraordinary eyewear online.
The CYSTEM,"The CYSTEM is free sports, education program designed to build better student athletes. CITY YOUTH SPORTS TRAINING & EDUCATION MOVEMENT"
CRUSHarmy,"Join CRUSHarmy.com to buy, sell or trade sales leads and insider account knowledge for points and status. It's crowd selling for sales reps."
BunkJet,The hostel booking platform that allows you to know who'll bunk with before you book.
La Fi5th,La Fi5th is a user-driven community that delivers a modern news experience to everyone. Users can easily share or bookmark posts they discover or they can ev...
Pong Robotics,"Our social robotics help you exercise, stay healthy and be more productive."
T,Transformative
MegaMold® Infrastructure Systems LLC,A patented civil engineering technology giving licensed contractors competitive advantages when bidding on concrete infrastructure projects.
Collaperty,Collaperty is bringing crowdfunding to real estate investing.
BRELUNDI,An innovative player in the market of smart recyclable backpacks and handbags.
"RippleFly, Inc","RippleFly solves the three main causes of sales pipeline error to dramatically improve sales focus, forecasts, and performance."
invisaWear,"invisaWear creates smart jewelry and accessories that allow users to instantly alert friends, family, and police during an emergency."
Chasm Innovations,Connecting Innovation to the Enterprise
Blush Baking Company LLC.,"My Company, Blush Baking Company, is opening a cafe in the Boston area, serving French Macarons, specialty pastries, and unique beverages."
Cherry Medical,"Viral peptide analog for breast, lung and prostate cancers."
Sensorstream,Sensorstream is focused on the design of wearable consumer electronic devices. We want to begin mass production of our smart watch named Pi.
HealthClips,"By linking fingerprints to cloud-based medical records, HealthClips brings informed care to patients and providers in the developing world."
imageSurge Inc,imageSurge transforms any retail storefront into a through-glass touch interactive retail platform.
TBD,TBD will allow students to sell a percentage of future earnings for tuition. Companies can raise funds through equity. Why not students?
instantMRO,instantMRO is a trusted marketplace for the exchange of aircraft parts between U.S. manufacturers and the military.
Marie Grace Bella Pelle,Renew your Skin and Awaken your Senses
iNZURi,iNZURi is an interactive advertisement  and eCommerce beauty platform that assist cosmetic retailers in engaging customers.
New England Up Front Enterprise,"New England Up Front was created for all genres of talent, entrepreneurs and businesses to grow and prosper upon!"
all9s,A disaster-recovery (DR) software product that automates recovery processes for cloud-hosted applications and infrastructure.
Mary J List,If Craig and Angie got together and had a kid their child's name would be Mary J List hence Mary J List.com Check us out for all things cannabis!!!
XBT Card,The Bitcoin debit card.
J2H Digital,J2H Digital provides Internet Marketing Solutions for small businesses.
UScan Technologies,"We are an RFID technology company that supplies retailers with cutting-edge self-checkout systems, giving them the competitive advantage they deserve."
Skedastic Systems LLC,Skedastic is taking predictive analytics to the N.A. manufacturing market to leverage current automation investments and optimize production
Cannabis Genomics,We provide genetic information on various strains of cannabis plants that allows consumers to have insight on their medicinal or retail products.
"Boston Plastering Contractor, Inc.","We specialize in replacing old ceilings and patching with almost any texture in Natick, Weston, Newton, Somerville, Medford, Cambridge and Boston, MA."
